Bundesland;Regionalbereich;Bf. Nr.;Station;Bf DS 100 Abk.;Kategorie Vst;Straße;PLZ;Ort;Aufgabenträger;Verkehrsverbünde;Fernverkehr;Nahverkehr
Hessen;Kurhessenbahn (KHB);8263;Ahnatal-Casselbreite;FATC;KHB 1;Casselbreite;34292;Ahnatal;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);2616;Ahnatal-Heckershausen;FHEH;KHB 1;Bahnhofstraße;34292;Ahnatal;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);6618;Ahnatal-Weimar;FWEI;KHB 1;Raiffeisenplatz;34292;Ahnatal;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Bayern;Südostbayernbahn (SOB);33;Aich (Niederbay);MAIC;SOB;Am Bahnberg 1;84155;Bodenkirchen;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Hessen;Kurhessenbahn (KHB);102;Altenhasungen;FAHN;KHB 1;Hardtstraße;34466;Wolfhagen;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Bayern;Südostbayernbahn (SOB);106;Altenmarkt (Alz);MATM;SOB;Margaretenstraße;83352;Altenmarkt a.d. Alz;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;Südostbayernbahn (SOB);127;Altötting;MAT;SOB;Bahnhofsplatz 1;84503;Altötting;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;Westfrankenbahn (WFB);138;Amorbach;NAMB;WFB 2;Am Bahnhof;63916;Amorbach;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Sachsen;Erzgebirgsbahn (EGB);153;Annaberg-Buchholz Mitte;DABM;EGB;Talstraße;9456;Annaberg-Buchholz;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);154;Annaberg-Buchholz Süd;DAB;EGB;Schneeberger Straße;9456;Annaberg-Buchholz;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);155;Annaberg-Buchholz unt Bahnhof;DABU;EGB;Bahnhofsplatz;9456;Annaberg-Buchholz;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);162;Antonsthal;DATL;EGB;Talstraße;8359;Breitenbrunn;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;Südostbayernbahn (SOB);165;Anzenkirchen;MAK;SOB;Bahnhofstr.;84371;Triftern;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Rottal-Inn;nein;ja
Bayern;Westfrankenbahn (WFB);4666;Aschaffenburg-Obernau;NOBN;WFB 2;Obernheimweg;63743;Aschaffenburg;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Sachsen;Erzgebirgsbahn (EGB);205;Aue (Sachs);DAU;EGB;Lößnitzer Straße;8280;Aue;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);8216;Aue (Sachs) Erzgebirgsstadion;DAUS;EGB;Lößnitzer Straße (Am Stadion);8280;Aue;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Hessen;Kurhessenbahn (KHB);7463;Bad Arolsen;FAR;KHB 1;Am Bahnhof 1;34454;Bad Arolsen;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Bayern;Südostbayernbahn (SOB);255;Bad Birnbach;MBIB;SOB;Bahnhofstraße 10;84364;Bad Birnbach;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Rottal-Inn;nein;ja
Bayern;Südostbayernbahn (SOB);270;Bad Empfing;MBEP;SOB;Obersulzbach;94081;Fürstenzell;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Landkreis Passau;nein;ja
Bayern;Südostbayernbahn (SOB);283;Bad Höhenstadt;MBHT;KHB 3;Bahnhofstraße;57334;Bad Laasphe;Bayrische Eisenbahn Gesellschaft;Zweckverband / Verkehrsgemeinschaft Westfalen-Süd;nein;ja
Nordrhein-Westfalen;Kurhessenbahn (KHB);3487;Bad Laasphe;ELSP;KHB 3;Entenbergstraße;57334;Bad Laasphe;Zweckverband Nahverkehr Westfalen-Lippe;Zweckverband / Verkehrsgemeinschaft Westfalen-Süd;nein;ja
Nordrhein-Westfalen;Kurhessenbahn (KHB);8223;Bad Laasphe-Niederlaasphe;ENL;WFB 1;Bahnhofsplatz;97980;Bad Mergentheim;Zweckverband Nahverkehr Westfalen-Lippe;Verkehrsverbund Rhein-Neckar;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);305;Bad Mergentheim;TBMR;EGB;Hauptstraße;8301;Bad Schlema;Nahverkehrsgesellschaft Baden-Württemberg;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);5587;Bad Schlema;DSUB;KHB 1;Bahnhofstraße;34537;Bad Wildungen;Verkehrsverbund Mittelsachsen;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);362;Bad Wildungen;FBWD;EGB;Bahnhofstraße;9471;Bärenstein;Nordhessischer Verkehrsverbund;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);407;Bärenstein (Kr Annaberg);DBS;SOB;Bahnhofstraße 28;94137;Bayerbach;Verkehrsverbund Mittelsachsen;Verkehrsgemeinschaft Rottal-Inn;nein;ja
Bayern;Südostbayernbahn (SOB);434;Bayerbach;MBYB;OBS;Ortsstraße 45;7426;Bechstedt;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Thüringen;Oberweißbacher Berg- und Schwarzatalbahn (OBS);445;Bechstedt-Trippstein;UBET;SOB;Bibelöd 6;83324;Ruhpolding;Nahverkehrsservicegesellschaft Thüringen;-;nein;ja
Bayern;Südostbayernbahn (SOB);8217;Bibelöd;MBID;KHB 2;Am Bahnhof;35216;Biedenkopf;Bayrische Eisenbahn Gesellschaft;Rhein-Main-Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);620;Biedenkopf;FBIK;KHB 2;Vater-Jahn-Straße;35216;Biedenkopf;Rhein-Main-Verkehrsverbund;Rhein-Main-Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);8218;Biedenkopf Schulzentrum;FBIZ;KHB 2;Bahnhofstraße;35216;Biedenkopf;Rhein-Main-Verkehrsverbund;Rhein-Main-Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);6502;Biedenkopf-Wallau;FWA;KHB 1;Bahnhofstraße;35099;Burgwald;Rhein-Main-Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);657;Birkenbringhausen;FBBH;WFB 1;Bahnhofstraße;74572;Blaufelden;Nordhessischer Verkehrsverbund;KreisVerkehr Schwäbisch Hall;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);697;Blaufelden;TBLF;EGB;Hauptstraße;9526;Olbernhau;Nahverkehrsgesellschaft Baden-Württemberg;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);711;Blumenau;DBLU;WFB 1;Bahnhofsweg;74722;Buchen (Odenwald);Verkehrsverbund Mittelsachsen;Verkehrsverbund Rhein-Neckar;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);745;Bödigheim;RBGH;EGB;Schachtstraße;8359;Breitenbrunn;Nahverkehrsgesellschaft Baden-Württemberg;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);848;Breitenbrunn (Erzgeb);DBRE;WFB 1;Eisenbahnstraße;74722;Buchen (Odenwald);Verkehrsverbund Mittelsachsen;Verkehrsverbund Rhein-Neckar;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);930;Buchen im Odenwald;RBUN;WFB 1;Am Wartberg;74722;Buchen (Odenwald);Nahverkehrsgesellschaft Baden-Württemberg;Verkehrsverbund Rhein-Neckar;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);931;Buchen Ost;RBUO;KHB 2;Elmshäuser Straße;35232;Dautphetal;Nahverkehrsgesellschaft Baden-Württemberg;Rhein-Main-Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);932;Buchenau (Lahn);FBNU;SOB;Berliner Platz 2;84489;Burghausen;Rhein-Main-Verkehrsverbund;-;nein;ja
Bayern;Südostbayernbahn (SOB);985;Burghausen;MBUH;SOB;Rupertusstraße 16-26;84508;Burgkirchen a.d.Alz;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;Südostbayernbahn (SOB);990;Burgkirchen;MBGK;EGB;Bahnhofstraße;9235;Burkhardtsdorf;Bayrische Eisenbahn Gesellschaft;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);1001;Burkhardtsdorf;DBUF;EGB;Ahnerweg;9235;Burkhardtsdorf;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);8219;Burkhardtsdorf Mitte;DBUM;EGB;Am Hammerwald;8064;Zwickau;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);1018;Cainsdorf;DCDF;KHB 2;Zum Wollenberg;35094;Lahntal;Verkehrsverbund Mittelsachsen;Rhein-Main-Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);1023;Caldern;FCLD;EGB;Paul-Franke-Straße;9125;Chemnitz;Rhein-Main-Verkehrsverbund;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);1047;Chemnitz-Erfenschlag;DCE;EGB;Erfenschlager Straße;9125;Chemnitz;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);1051;Chemnitz-Reichenhain;DCRE;WFB 2;Bahnhofstraße;97903;Collenberg;Verkehrsverbund Mittelsachsen;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Bayern;Westfrankenbahn (WFB);5210;Collenberg;NRF;OBS;Bahnhofstraße 6;98744;Cursdorf;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Thüringen;Oberweißbacher Berg- und Schwarzatalbahn (OBS);1094;Cursdorf;UCF;WFB 1;Baumgartenweg;97941;Tauberbischofsheim;Nahverkehrsservicegesellschaft Thüringen;Verkehrsverbund Rhein-Neckar;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);1228;Distelhausen;TDIH;EGB;Bahnhofstraße;9439;Amtsberg;Nahverkehrsgesellschaft Baden-Württemberg;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);1232;Dittersdorf;DDF;WFB 1;Frombergstraße;97941;Tauberbischofsheim;Verkehrsverbund Mittelsachsen;Verkehrsverbund Rhein-Neckar;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);1233;Dittigheim;TDM;EGB;An der Bahn;9619;Zwönitz;Nahverkehrsgesellschaft Baden-Württemberg;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);1267;Dorfchemnitz (b Zwönitz);DDCH;WFB 2;Bahnstraße;97904;Dorfprozelten;Verkehrsverbund Mittelsachsen;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Bayern;Westfrankenbahn (WFB);1272;Dorfprozelten;NDP;WFB 1;Wilhelm-Frank-Straße;97980;Bad Mergentheim;Bayrische Eisenbahn Gesellschaft;Verkehrsverbund Rhein-Neckar;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);1460;Edelfingen;TED;SOB;Bahnstraße 3-15;83533;Edling;Nahverkehrsgesellschaft Baden-Württemberg;Münchener Verkehrs- und Tarifverbund;nein;ja
Bayern;Südostbayernbahn (SOB);1466;Edling;MEDL;SOB;Bahnhofstraße 3-8;84307;Eggenfelden;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Rottal-Inn;nein;ja
